,Subject,Predicate,Object,Frequency,isKey,nameMatch,subjectColumn,objectColumn
152,http://dbpedia.org/resource/Sahrawi_Arab_Democratic_Republic,http://dbpedia.org/ontology/capital,http://dbpedia.org/resource/El_Aaiun,0.8545454545454545,False,1.0,1.0,5.0
153,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,http://dbpedia.org/property/location,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9,0.01818181818181818,False,0.46,1.0,5.0
154,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9,0.01818181818181818,False,0.42,1.0,5.0
155,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9,0.21818181818181817,False,0.42,1.0,5.0
156,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,http://dbpedia.org/property/largestCity,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9,0.07272727272727272,False,0.42,1.0,5.0
157,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,http://dbpedia.org/ontology/capital,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9,0.8545454545454545,False,1.0,1.0,5.0
158,http://dbpedia.org/resource/Senegal,http://dbpedia.org/property/location,http://dbpedia.org/resource/Dakar,0.01818181818181818,False,0.46,1.0,5.0
159,http://dbpedia.org/resource/Senegal,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://dbpedia.org/resource/Dakar,0.01818181818181818,False,0.42,1.0,5.0
160,http://dbpedia.org/resource/Senegal,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/resource/Dakar,0.21818181818181817,False,0.42,1.0,5.0
161,http://dbpedia.org/resource/Senegal,http://dbpedia.org/property/largestCity,http://dbpedia.org/resource/Dakar,0.07272727272727272,False,0.42,1.0,5.0
162,http://dbpedia.org/resource/Seychelles,http://dbpedia.org/property/location,"http://dbpedia.org/resource/Victoria,_Seychelles",0.01818181818181818,False,0.46,1.0,5.0
163,http://dbpedia.org/resource/Seychelles,http://www.w3.org/2000/01/rdf-schema#seeAlso,"http://dbpedia.org/resource/Victoria,_Seychelles",0.01818181818181818,False,0.42,1.0,5.0
164,http://dbpedia.org/resource/Seychelles,http://dbpedia.org/ontology/largestCity,"http://dbpedia.org/resource/Victoria,_Seychelles",0.21818181818181817,False,0.42,1.0,5.0
